Titile	Authors	Abstract	Published Year	Published Month	Journal	Volume	Issue	Pages	Accession Number	DOI	Ref	Covidence #	Study	Notes	Tags	DOI	Institute	Country
Pulmonary High-Resolution Computed Tomography (HRCT) Findings of Patients with Early-Stage Coronavirus Disease 2019 (COVID-19) in Hangzhou, China	Gao, Lulu; Zhang, Jianjun	BACKGROUND The aim of this study was to investigate the imaging manifestations of early-stage coronavirus disease 2019 (COVID-19) and to provide imaging basis for early detection of suspected cases and stratified intervention. MATERIAL AND METHODS From 20 January 2020 to 2 February 2020, 6 patients diagnosed with COVID-19, including 1 male and 5 females, were retrospectively reviewed in Zhejiang Hospital. These cases were clinically assessed and classified as common COVID-19. All patients underwent thoracic high-resolution computed tomography (HRCT) within 2 days after the onset of symptoms, and their images were viewed by 2 radiologists who were blind to their clinical records. RESULTS CT images of 6 confirmed patients were collected. Two of the 6 patients (33.3%) had bilateral lung involvements and 4 (66.7%) had single-lung involvement. Two cases (33.3%) had a single lesion, 2 cases (33.3%) had 2 lesions, and 2 cases (33.3%) had multiple lesions. There were 2 cases (33.3%) with focal subpleural distribution and 1 case (16.7%) along the bronchial vascular bundle. Five cases (83.3%) had ground-glass opacities, 4 cases (66.7%) had ground-glass nodules, 1 case (16.7%) had thickened lobular septum, 2 cases (33.3%) had thickened bronchial wall, 2 cases (33.3%) had halo sign,1 case (16.7%) had crazy-paving sign, and 1 case (16.7%) had tree-in-bud sign. CONCLUSIONS The imaging manifestations of early-stage COVID-19 are relatively mild, and the imaging findings of some patients are not typical, which can easily lead to missed diagnoses. Thus, suspected cases need to be closely monitored, and epidemiological history and clinical laboratory examination should also be considered during diagnosis.	2020	NA	Med Sci Monit	NA	NA	NA	32246819	10.12659/MSM.923885	31272	#34285	Gao 2020	NA	NA	10.12659/MSM.923885	Department of Anesthesiology, Children‚Äôs Hospital	NA
Recommendation about the perioperative prevention of infection to healthcare workers and the anesthesia management of children with SARS-CoV-2 infection	Huang, J.; Hu, Y.; Wang, J.; Wang, D.; Zhu, Z.; Hu, Z.; Jin, Z.; Lin, H.; Huang, W.; Shen, W.; Jiang, Y.; Hu, M.; Wu, J.; Suo, Y.; Shu, Q.	Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has spread widely and persistently over 100 countries. New challenges have occurred in the perioperative management of airway and anesthesia in children diagnosed with SARS-CoV-2 infection. According to current publications and to our own experiences in anesthesia management for cases with SARS-CoV-2 suspected, we reviewed concerns about the perioperative prevention of SARS-CoV-2 to medical staff and the anesthesia strategy to the patient.	2020	NA	World Journal of Pediatric Surgery	3	1	NA	NA	10.1136/wjps-2020-000126	30302	#31714	Huang 2020	NA	NA	10.1136/wjps-2020-000126	Department of Anesthesiology, Children‚Äôs Hospital	NA
Review of the Clinical Characteristics of Coronavirus Disease 2019 (COVID-19)	Jiang, Fang; Deng, Liehua; Zhang, Liangqing; Cai, Yin; Cheung, Chi Wai; Xia, Zhengyuan	In late December 2019, a cluster of cases with 2019 Novel Coronavirus pneumonia (SARS-CoV-2) in Wuhan, China, aroused worldwide concern. Previous studies have reported epidemiological and clinical characteristics of coronavirus disease 2019 (COVID-19). The purpose of this brief review is to summarize those published studies as of late February 2020 on the clinical features, symptoms, complications, and treatments of COVID-19 and help provide guidance for frontline medical staff in the clinical management of this outbreak.	2020	NA	Journal of General Internal Medicine	NA	NA	NA	NA	10.1007/s11606-020-05762-w	4883	#4546	Jiang 2020	NA	* Narrative review; Epidemiology	10.1007/s11606-020-05762-w	Department of Anesthesiology, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong, SAR, China|Department of Critical Care Medicine, Affiliated Hospital of Guangdong Medical University, Zhanjiang, China|Department of Anesthesiology, Affiliated Hospital of Guangdong Medical University, Zhanjiang, China	('China', 3)
To Protect Healthcare Workers Better, To Save More Lives	Chen, Weiyun; Huang, Yuguang	The Coronavirus Disease 2019 (COVID-19) pandemic has thus far caused a total of 81,747 confirmed cases with 3,283 deaths in China, and more than 370,000 confirmed cases including over 16,000 deaths around the world by March 24, 2020. This issue has received extensive attention from the international community and has become a major public health priority. As the pandemic progresses, it is regrettable to know the healthcare workers, including anesthesiologists, being infected constantly. Therefore, we would like to share our firsthand practical experience and perspective in China, focusing on the personal protection of healthcare workers and the risk factors related to their infection, based on the different stages of the COVID-19 epidemic in China. Financial Disclosures: None. Conflicts of interest: None. Address correspondence to: Yuguang Huang, MD. Department of Anesthesiology, Peking Union Medical College Hospital, No.1 Shuaifuyuan, Dongcheng District, Beijing, 100730, China. Tel: +86-13601121351, Email: garybeijing@163.com Â© 2020 International Anesthesia Research Society	9000	NA	Anesthesia & Analgesia	Publish Ahead of Print	NA	NA	00000539-900000000-95724	10.1213/ane.0000000000004834	21523	#20862	Chen 9000	NA	NA	10.1213/ane.0000000000004834	Department of Anesthesiology, Peking Union Medical College Hospital, Beijing, China|Department of Anesthesiology, Peking Union Medical College Hospital, Beijing, China	('China', 2)
The brain, another potential target organ, needs early protection from SARS-CoV-2 neuroinvasion	Li, Zhengqian; Huang, Yuguang; Guo, Xiangyang	NA	2020	NA	Sci China Life Sci	NA	NA	NA	32246403	10.1007/s11427-020-1690-y	31289	#34169	Li 2020	NA	NA	10.1007/s11427-020-1690-y	Department of Anesthesiology, Peking University Third Hospital, Beijing, 100191, China|Department of Anesthesiology, Peking Union Medical College Hospital, Beijing, 100730, China	('China', 2)
Safety and efficacy of different anesthetic regimens for parturients with COVID-19 undergoing Cesarean delivery: a case series of 17 patients	Chen, Rong; Zhang, Yuan; Huang, Lei; Cheng, Bi-heng; Xia, Zhong-yuan; Meng, Qing-tao	To assess the management and safety of epidural or general anesthesia for Cesarean delivery in parturients with coronavirus disease (COVID-19) and their newborns, and to evaluate the standardized procedures for protecting medical staff. We retrospectively reviewed the cases of parturients diagnosed with severe acute respiratory syndrome coronavirus (SARS-CoV-2) infection disease (COVID-19). Their epidemiologic history, chest computed tomography scans, laboratory measurements, and SARS-CoV-2 nucleic acid positivity were evaluated. We also recorded the patientsâ€™ demographic and clinicalÂ characteristics, anesthesia and surgery-related data, maternal and neonatal complications, as well as the health status of the involved medical staff. The clinical characteristics of 17 pregnant women infected with SARS-CoV-2 were similar to those previously reported in non-pregnant adult patients. All of the 17 patients underwent Cesarean delivery with anesthesia performed according to standardized anesthesia/surgery procedures. Fourteen of the patients underwent continuous epidural anesthesia with 12 experiencing significant intraoperative hypotension. Three patients received general anesthesia with tracheal intubation because emergency surgery was needed. Three of the parturients are still recovering from their Cesarean delivery and are receiving in-hospital treatment for COVID-19. Three neonates were born prematurely. There were no deaths or serious neonatal asphyxia events. All neonatal SARS-CoV-2 nucleic acid tests were negative. No medical staff were infected throughout the patient care period. Both epidural and general anesthesia were safely used for Cesarean delivery in the parturients with COVID-19. Nevertheless, the incidence of hypotension during epidural anesthesia appeared excessive. Proper patient transfer, medical staff access procedures, and effective biosafety precautions are important to protect medical staff from COVID-19.	2020	NA	Canadian Journal of Anesthesia/Journal canadien d'anesthÃ©sie	NA	NA	9-Jan	NA	10.1007/s12630-020-01630-7	8968	#8809	Chen 2020	NA	* Case study/series; Clinical aspects, diagnosis, treatment	10.1007/s12630-020-01630-7	Department of Anesthesiology, Renmin Hospital of Wuhan University, Wuhan, 430060, China|Department of Anesthesiology, East Hospital, Renmin Hospital of Wuhan University, Wuhan, China|Department of Obstetric, East Hospital, Renmin Hospital of Wuhan University, Wuhan, China	('China', 3)
Safety and efficacy of different anesthetic regimens for parturients with COVID-19 undergoing Cesarean delivery: a case series of 17 patients TT - Securite et efficacite de differents modes danesthesie pour des parturientes infectees par la COVID-19 accouchant par cesarienne: une serie de 17cas	Chen, Rong; Zhang, Yuan; Huang, Lei; Cheng, Bi-Heng; Xia, Zhong-Yuan; Meng, Qing-Tao	PURPOSE: To assess the management and safety of epidural or general anesthesia for Cesarean delivery in parturients with coronavirus disease (COVID-19) and their newborns, and to evaluate the standardized procedures for protecting medical staff. METHODS: We retrospectively reviewed the cases of parturients diagnosed with severe acute respiratory syndrome coronavirus (SARS-CoV-2) infection disease (COVID-19). Their epidemiologic history, chest computed tomography scans, laboratory measurements, and SARS-CoV-2 nucleic acid positivity were evaluated. We also recorded the patients' demographic and clinicalcharacteristics, anesthesia and surgery-related data, maternal and neonatal complications, as well as the health status of the involved medical staff. RESULTS: The clinical characteristics of 17 pregnant women infected with SARS-CoV-2 were similar to those previously reported in non-pregnant adult patients. All of the 17 patients underwent Cesarean delivery with anesthesia performed according to standardized anesthesia/surgery procedures. Fourteen of the patients underwent continuous epidural anesthesia with 12 experiencing significant intraoperative hypotension. Three patients received general anesthesia with tracheal intubation because emergency surgery was needed. Three of the parturients are still recovering from their Cesarean delivery and are receiving in-hospital treatment for COVID-19. Three neonates were born prematurely. There were no deaths or serious neonatal asphyxia events. All neonatal SARS-CoV-2 nucleic acid tests were negative. No medical staff were infected throughout the patient care period. CONCLUSIONS: Both epidural and general anesthesia were safely used for Cesarean delivery in the parturients with COVID-19. Nevertheless, the incidence of hypotension during epidural anesthesia appeared excessive. Proper patient transfer, medical staff access procedures, and effective biosafety precautions are important to protect medical staff from COVID-19.	2020	NA	Canadian journal of anaesthesia = Journal canadien d'anesthesie	NA	NA	NA	NA	10.1007/s12630-020-01630-7	9938	#9400	Chen 2020	NA	* Case study/series; Clinical aspects, diagnosis, treatment	10.1007/s12630-020-01630-7	Department of Anesthesiology, Renmin Hospital of Wuhan University, Wuhan, 430060, China|Department of Anesthesiology, East Hospital, Renmin Hospital of Wuhan University, Wuhan, China|Department of Obstetric, East Hospital, Renmin Hospital of Wuhan University, Wuhan, China	('China', 3)
In reply: Uncertainty in using chest computed tomography in early coronavirus disease (COVID-19)	Chen, Rong; Meng, Qing-tao	NA	2020	NA	Canadian Journal of Anesthesia/Journal canadien d'anesthÃ©sie	NA	NA	2-Jan	NA	10.1007/s12630-020-01640-5	30948	#30621	Chen 2020	NA	NA	10.1007/s12630-020-01640-5	Department of Anesthesiology, Renmin Hospital of Wuhan University, Wuhan, China|Department of Anesthesiology, East Hospital, Renmin Hospital of Wuhan University, Wuhan, China	('China', 2)
Chest computed tomography images of early coronavirus disease (COVID-19)	Chen, Rong; Chen, Jun; Meng, Qing-Tao	NA	2020	NA	Canadian journal of anaesthesia = Journal canadien d'anesthesie	NA	NA	10.1007/s12630-020-01625-4	NA	10.1007/s12630-020-01625-4	7924	#7625	Chen 2020	NA	* Case study/series; Clinical aspects, diagnosis, treatment	10.1007/s12630-020-01625-4	Department of Anesthesiology, Renmin Hospital of Wuhan University, Wuhan, China|Department of Anesthesiology, East Hospital, Renmin Hospital of Wuhan University, Wuhan, China|Department of Radiology, Renmin Hospital of Wuhan University, Wuhan, China	('China', 3)
Simulation as a tool for assessing and evolving your current personal protective equipment: lessons learned during the coronavirus disease (COVID-19) pandemic	Lockhart, Shannon L.; Naidu, Justen J.; Badh, Charanjit S.; Duggan, Laura V.	NA	2020	NA	Canadian journal of anaesthesia = Journal canadien d'anesthesie	NA	NA	NA	NA	10.1007/s12630-020-01638-z	17773	#18003	Lockhart 2020	NA	* Normative guidance; Clinical aspects, diagnosis, treatment	10.1007/s12630-020-01638-z	Department of Anesthesiology, St. Paul‚Äôs Hospital, University of British Columbia, Vancouver, BC, Canada|University of British Columbia, Vancouver, BC, Canada|Department of Anesthesiology & Pain Medicine, University of Ottawa, Ottawa, ON, Canada	('Canada', 3)
Obstetric Anesthesia During the COVID-19 Pandemic	Bauer, Melissa; Bernstein, Kyra; Dinges, Emily; Delgado, Carlos; El-Sharawi, Nadir; Sultan, Pervez; Mhyre, Jill M.; Landau, Ruth	With increasing numbers of Coronavirus Disease 2019 (COVID 19) cases due to efficient human-to-human transmission of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in the United States, preparation for the unpredictable setting of labor and delivery is paramount. The priorities are two-fold in the management of obstetric patients with COVID-19 infection or persons under investigation (PUI): (1) caring for the range of asymptomatic to critically ill pregnant and postpartum women; (2) protecting health care workers and beyond from exposure during the delivery hospitalization (health care providers, personnel, family members). The goal of this review is to provide evidence-based recommendations, or expert opinion when evidence is limited, for anesthesiologists caring for pregnant women during the COVID 19 pandemic, with a focus on preparedness and best clinical obstetric anesthesia practice. Financial Disclosures: None Conflicts of Interest: None Corresponding Author: Ruth Landau, MD, Department of Anesthesiology, Columbia University College of Physicians and Surgeons, New York, NY Â© 2020 International Anesthesia Research Society	2020	NA	Anesthesia & Analgesia	Publish Ahead of Print	NA	NA	00000539-900000000-95696	10.1213/ane.0000000000004856	38295	#38783	Bauer 2020	NA	NA	10.1213/ane.0000000000004856	Department of Anesthesiology, University of Michigan, Ann Arbor, MI|Department of Anesthesiology & Pain Medicine, University of Washington, Seattle, WA|Department of Anesthesiology, University of Arkansas for Medical Sciences, Little Rock, AR|Department of Anesthesia, Stanford University, Stanford, CA	NA
What the stock market tells us about the post-COVID-19 world	Wagner, Alexander F.	NA	2020	NA	Nature human behaviour	NA	NA	NA	NA	10.1038/s41562-020-0869-y	30775	#31423	Wagner 2020	NA	NA	10.1038/s41562-020-0869-y	Department of Banking and Finance, University of Zurich, Swiss Finance Institute, CEPR, and ECGI, Zurich, Switzerland	('Switzerland', 1)
Application of personal-oriented digital technology in preventing transmission of COVID-19, China	Pan, Xiao-Ben	We reported several personal-oriented and mobile phone-based information technologies which were recently developed and widely used during the outbreak of COVID-19 in China. These technologies help reduce the transmission of COVID-19 and maintain normal social order.	2020	NA	Irish Journal of Medical Science (1971 -)	NA	NA	2-Jan	NA	10.1007/s11845-020-02215-5	16728	#15734	Pan 2020	NA	* Case study/series; Epidemiology	10.1007/s11845-020-02215-5	Department of Basic Medical Science, Key Laboratory of Aging and Cancer Biology of Zhejiang Province, Key Laboratory of Inflammation and Immunoregulation of Hangzhou, School of Medicine, Hangzhou Normal University, No.2318, Yuhangtang Rd, Cangqian, Yuhang District, 311121, Hangzhou, Zhejiang, People‚Äôs Republic of China	('China', 1)
COVID-2019: the role of the nsp2 and nsp3 in its pathogenesis	Angeletti, Silvia; Benvenuto, Domenico; Bianchi, Martina; Giovanetti, Marta; Pascarella, Stefano; Ciccozzi, Massimo	Last December 2019, a new virus, named COVID-2019 causing many cases of severe pneumonia was reported in Wuhan, China. The virus knowledge is limited and especially about COVID-2019 pathogenesis. The Open Reading Frame 1ab (ORF1ab) of COVID-2019 has been analyzed to evidence the presence of mutation caused by selective pressure on the virus. For selective pressure analysis fast-unconstrained Bayesian approximation (FUBAR) was used. Homology modelling has been performed by SwissModel and HHPred servers. The presence of transmembrane helical segments in Coronavirus ORF1ab nsp2 and nsp3, was tested by TMHMM, MEMSAT and MEMPACK tools. Three-dimensional structures have been analyzed and displayed using PyMOL. FUBAR analysis revealed the presence of potential sites under positive selective pressure (p-value < 0.05). Position 723 in the COVID-2019 has a serine instead a glycine residue, while at aminoacidic position 1010 a proline instead an isoleucine. Significant (p < 0.05) pervasive negative selection in 2416 sites (55%) was found. The positive selective pressure could account for some clinical features of this virus compared to SARS and Bat SARS-like CoV. The stabilizing mutation falling in the endosome-associated-protein-like domain of the nsp2 protein could account for COVID-2019 high ability of contagious, while the destabilizing mutation in nsp3 proteins could suggest a potential mechanism differentiating COVID-2019 from SARS. These data could be helpful for further investigation aimed to identify potential therapeutic targets or vaccine strategy, especially in the actual moment when the epidemic is ongoing and the scientific community is trying to enrich knowledge about this new viral pathogen. This article is protected by copyright. All rights reserved.	2020	NA	J Med Virol	NA	NA	10.1002/jmv.25719	32083328	10.1002/jmv.25719	133	#1704	Angeletti 2020	NA	* Opinion piece; Virology, immunology	10.1002/jmv.25719	Department of Biochemical Sciences "A. Rossi Fanelli", University of Rome ‚ÄúLa Sapienza‚Äù, Rome, Italy|Department of Biochemical Sciences "A. Rossi Fanelli", University of Rome ‚ÄúLa Sapienza‚Äù, Rome, Italy|Department of Biochemical Sciences "A. Rossi Fanelli", University of Rome ‚ÄúLa Sapienza‚Äù, Rome, Italy|Department of Biochemical Sciences "A. Rossi Fanelli", University of Rome ‚ÄúLa Sapienza‚Äù, Rome, Italy	('Italy', 4)
Frontiers in antiviral therapy and immunotherapy	Heaton, Steven M	NA	2020	NA	Clinical & Translational Immunology	9	2	e1115	NA	10.1002/cti2.1115	54	#1302	Heaton 2020	NA	* Narrative review; * Opinion piece; Ethics, social science, economics; Virology, immunology	10.1002/cti2.1115	Department of Biochemistry & Molecular Biology, Monash University, 23 Innovation Walk, Clayton, VIC, 3800 Australia|Department of Biochemistry & Molecular Biology, Monash University, 23 Innovation Walk, Clayton, VIC, 3800 Australia	('Australia', 2)
Structural and biochemical characterization of SADS-CoV Papain Like protease 2	Wang, Lu; Hu, Weihua; Fan, Chengpeng	Abstract Swine acute diarrhea syndrome coronavirus (SADS-CoV) is a novel coronavirus that is involved in severe diarrhea disease in piglets, causing considerable agricultural and economic loss in China. The emergence of this new coronavirus increases the importance of understanding SADS-CoV as well as antivirals. Coronaviral proteases, including main proteases and papain-like proteases (PLP), are attractive antiviral targets because of their essential roles in polyprotein processing and thus virus maturation. Here, we describe the biochemical and structural identification of recombinant SADS papain-like protease 2 (PLP2) domain of nsp3. The SADS-CoV PLP2 was shown to cleave nsp1 proteins and also peptides mimicking the nsp2|nsp3 cleavage site and also had deubiquitinating and deISGynating activity by in vitro assay. The crystal structure adopts an architecture resembling that of PLPs from other coronaviruses. We characterize both conserved and unique structural features likely directing the interaction of PLP2 with the substrates, also including the tentative mapping of active site and other essential residues. These results provide a foundation for understanding the molecular basis of coronaviral PLPs's catalytic mechanism and for the screening and design of therapeutics to combat infection by SADS coronavirus. This article is protected by copyright. All rights reserved.	2020	NA	Protein Science	n/a	n/a	NA	NA	10.1002/pro.3857	17783	#18212	Wang 2020	NA	NA	10.1002/pro.3857	Department of Biochemistry and Molecular Biology, Basic School of Medical Sciences, Wuhan University, Wuhan, China|Department of Biochemistry and Molecular Biology, Basic School of Medical Sciences, Wuhan University, Wuhan, China|Department of Biochemistry and Molecular Biology, Basic School of Medical Sciences, Wuhan University, Wuhan, China|Department of Biochemistry and Molecular Biology, Basic School of Medical Sciences, Wuhan University, Wuhan, China|Department of Biochemistry and Molecular Biology, Basic School of Medical Sciences, Wuhan University, Wuhan, China|Department of Biochemistry and Molecular Biology, Basic School of Medical Sciences, Wuhan University, Wuhan, China	('China', 6)
Broad Spectrum Antiviral Agent Niclosamide and Its Therapeutic Potential	Xu, Jimin; Shi, Pei-Yong; Li, Hongmin; Zhou, Jia	The recent outbreak of coronavirus disease 2019 (COVID-19) highlights an urgent need for therapeutics. Through a series of drug repurposing screening campaigns, niclosamide, an FDA-approved anthelminthic drug, was found to be effective against various viral infections with nanomolar to micromolar potency such as SARS-CoV, MERS-CoV, ZIKV, HCV and human adenovirus, indicating its potential as an antiviral agent. In this brief article, we summarize the broad antiviral activities of niclosamide and highlight its potential clinical use for treatment of COVID-19.	2020	NA	ACS Infect Dis	NA	NA	10.1021/acsinfecdis.0c00052	32125140	10.1021/acsinfecdis.0c00052	3076	#3265	Xu 2020	NA	* Narrative review; * Opinion piece; Clinical aspects, diagnosis, treatment	10.1021/acsinfecdis.0c00052	Department of Biochemistry and Molecular Biology, Sealy Center for Structural Biology & Molecular Biophysics, University of Texas Medical Branch, Galveston, Texas 77555, United States|Institutional Sales	('United States', 1)
How Social Distancing Brought Us Closer as a BME Community	Amos, Jennifer R.; Howard, Cassandra	NA	2020	NA	Annals of Biomedical Engineering	NA	NA	2-Jan	NA	10.1007/s10439-020-02501-4	34409	#35074	Amos 2020	NA	NA	10.1007/s10439-020-02501-4	Department of Bioengineering, University of Illinois At Urbana-Champaign, Urbana, IL, USA|Department of Bioengineering, University of Colorado Denver | Anschutz, Aurora, CO, USA	('USA', 2)
Ethics in the time of COVID: What remains the same and what is different	Kim, Scott Y. H.; Grady, Christine	The COVID-19 pandemic raises difficult ethical questions for our healthcare system and its providers. Perhaps the most difficult is how to fairly distribute scarce resources, such as ICU beds and ventilators, as the answer will determine who lives and who dies. Compounding the difficulty, all of us are experiencing the dizzying newness of our socially distanced lives, and we sense that 'things are different now.' How do our traditional ethical principles apply to these very novel circumstances?	2020	NA	Neurology	NA	NA	NA	NA	10.1212/WNL.0000000000009520	37818	#38333	Kim 2020	NA	NA	10.1212/WNL.0000000000009520	Department of Bioethics, Clinical Center, National Institutes of Health|Department of Bioethics, Clinical Center, National Institutes of Health	NA
Full-genome sequences of the first two SARS-CoV-2 viruses from India	Yadav, Pragya D.; Potdar, Varsha A.; Choudhary, Manohar Lal; Nyayanit, Dimpal A.; Agrawal, Megha; Jadhav, Santosh M.; Majumdar, Triparna D.; Shete-Aich, Anita; Basu, Atanu; Abraham, Priya; Cherian, Sarah S.	Background & objectives: : Since December 2019, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has globally affected 195 countries. In India, suspected cases were screened for SARS-CoV-2 as per the advisory of the Ministry of Health and Family Welfare. The objective of this study was to characterize SARS-CoV-2 sequences from three identified positive cases as on February 29, 2020. Methods: : Throat swab/nasal swab specimens for a total of 881 suspected cases were screened by E gene and confirmed by RdRp (1), RdRp (2) and N gene real-time reverse transcription-polymerase chain reactions and next-generation sequencing. Phylogenetic analysis, molecular characterization and prediction of B- and T-cell epitopes for Indian SARS-CoV-2 sequences were undertaken. Results: : Three cases with a travel history from Wuhan, China, were confirmed positive for SARS-CoV-2. Almost complete (29,851 nucleotides) genomes of case 1, case 3 and a fragmented genome for case 2 were obtained. The sequences of Indian SARS-CoV-2 though not identical showed high (~99.98%) identity with Wuhan seafood market pneumonia virus (accession number: NC 045512). Phylogenetic analysis showed that the Indian sequences belonged to different clusters. Predicted linear B-cell epitopes were found to be concentrated in the S1 domain of spike protein, and a conformational epitope was identified in the receptor-binding domain. The predicted T-cell epitopes showed broad human leucocyte antigen allele coverage of A and B supertypes predominant in the Indian population. Interpretation & conclusions: : The two SARS-CoV-2 sequences obtained from India represent two different introductions into the country. The genetic heterogeneity is as noted globally. The identified B- and T-cell epitopes may be considered suitable for future experiments towards the design of vaccines and diagnostics. Continuous monitoring and analysis of the sequences of new cases from India and the other affected countries would be vital to understand the genetic evolution and rates of substitution of the SARS-CoV-2.	2020	NA	Indian J Med Res	NA	NA	NA	32242873	10.4103/ijmr.IJMR_663_20	31450	#32582	Yadav 2020	NA	NA	10.4103/ijmr.IJMR_663_20	Department of Bioinformatics, ICMR-National Institute of Virology, 20-A, Dr Ambedkar Road, Pune 411 001, Maharashtra 	NA
Neurological manifestations in COVID-19 caused by SARS-CoV-2	Baig, Abdul Mannan	NA	2020	NA	CNS Neuroscience & Therapeutics	n/a	n/a	NA	NA	10.1111/cns.13372	38000	#38660	Baig 2020	NA	NA	10.1111/cns.13372	Department of Biological & Biomedical Sciences, Aga Khan University, Karachi, Pakistan|Department of Biological & Biomedical Sciences, Aga Khan University, Karachi, Pakistan	('Pakistan', 2)
Evidence of the COVID-19 Virus Targeting the CNS: Tissue Distribution, Hostâ€“Virus Interaction, and Proposed Neurotropic Mechanisms	Baig, Abdul Mannan; Khaleeq, Areeba; Ali, Usman; Syeda, Hira	The recent outbreak of coronavirus infectious disease 2019 (COVID-19) has gripped the world with apprehension and has evoked a scare of epic proportion regarding its potential to spread and infect humans worldwide. As we are in the midst of an ongoing pandemic of COVID-19, scientists are struggling to understand how it resembles and differs from the severe acute respiratory syndrome coronavirus (SARS-CoV) at the genomic and transcriptomic level. In a short time following the outbreak, it has been shown that, similar to SARS-CoV, COVID-19 virus exploits the angiotensin-converting enzyme 2 (ACE2) receptor to gain entry inside the cells. This finding raises the curiosity of investigating the expression of ACE2 in neurological tissue and determining the possible contribution of neurological tissue damage to the morbidity and mortality caused by COIVD-19. Here, we investigate the density of the expression levels of ACE2 in the CNS, the hostâ€“virus interaction and relate it to the pathogenesis and complications seen in the recent cases resulting from the COVID-19 outbreak. Also, we debate the need for a model for staging COVID-19 based on neurological tissue involvement.	2020	NA	ACS Chemical Neuroscience	NA	NA	NA	NA	10.1021/acschemneuro.0c00122	8843	#8344	Baig 2020	NA	Clinical aspects, diagnosis, treatment	10.1021/acschemneuro.0c00122	Department of Biological and Biomedical Sciences, Aga Khan University, Karachi 74800, Pakistan|Department of Biological and Biomedical Sciences, Aga Khan University, Karachi 74800, Pakistan|Department of Biosciences, Mohammad Ali Jinnah University, Karachi 75400, Pakistan|Institutional Sales	('Pakistan', 3)
From SARS-CoV to 2019-nCoV Outbreak: Similarities in the Early Epidemics and Prediction of Future Trends	Chen, Ze-Liang; Zhang, Wen-Jun; Lu, Yi; Guo, Cheng; Guo, Zhong-Min; Liao, Cong-Hui; Zhang, Xi; Zhang, Yi; Han, Xiao-Hu; Li, Qian-Lin; Lu, Jia-Hai	NA	2020	NA	Chin Med J (Engl)	NA	NA	10.1097/CM9.0000000000000776	32118641	10.1097/CM9.0000000000000776	3127	#3435	Chen 2020	NA	* Epidemiological study; Epidemiology	10.1097/CM9.0000000000000776	Department of Biological Science and Technology, School of Life Sciences, Sun Yat-sen University, Guangzhou, Guangdong 510080, China|Department of Health Law, Policy and Management, School of Public Health, Boston University, Massachusetts 02215, USA	('China', 1)|('USA', 1)
Development of a Laboratory-safe and Low-cost Detection Protocol for SARS-CoV-2 of the Coronavirus Disease 2019 (COVID-19)	Won, Joungha; Lee, Solji; Park, Myungsun; Kim, Tai Young; Park, Mingu Gordon; Choi, Byung Yoon; Kim, Dongwan; Chang, Hyeshik; Kim, V. Narry; Lee, C. Justin	The severe acute respiratory coronavirus 2 (SARS-CoV-2), which emerged in December 2019 in Wuhan, China, has spread rapidly to over a dozen countries. Especially, the spike of case numbers in South Korea sparks pandemic worries. This virus is reported to spread mainly through personto- person contact via respiratory droplets generated by coughing and sneezing, or possibly through surface contaminated by people coughing or sneezing on them. More critically, there have been reports about the possibility of this virus to transmit even before a virus-carrying person to show symptoms. Therefore, a low-cost, easy-access protocol for early detection of this virus is desperately needed. Here, we have established a real-time reverse-transcription PCR (rtPCR)-based assay protocol composed of easy specimen self-collection from a subject via pharyngeal swab, Trizolbased RNA purification, and SYBR Green-based rtPCR. This protocol shows an accuracy and sensitivity limit of 1-10 virus particles as we tested with a known lentivirus. The cost for each sample is estimated to be less than 15 US dollars. Overall time it takes for an entire protocol is estimated to be less than 4 hours. We propose a cost-effective, quick-and-easy method for early detection of SARS-CoV-2 at any conventional Biosafety Level II laboratories that are equipped with a rtPCR machine. Our newly developed protocol should be helpful for a first-hand screening of the asymptomatic virus-carriers for further prevention of transmission and early intervention and treatment for the rapidly propagating virus.	2020	NA	Exp Neurobiol	NA	NA	10.5607/en20009	32156101	10.5607/en20009	7421	#6809	Won 2020	NA	Clinical aspects, diagnosis, treatment	10.5607/en20009	Department of Biological Sciences, Korea Advanced Institute of Science and Technology (KAIST), Daejeon 34141, |Department of Otorhinolaryngology, Seoul National University Bundang Hospital, Seongnam 13620, 	NA
